Date,Zxuanhoa,Sxuanhoa,Zgocat,Sgocat,Zlonguong,Slonguong,Zrachbun,Srachbun,Zvamgiong,Svamgiong
2024-01-01 00:00:00,0.57,0.0,1.18,0.7,1.16,1.9,1.19,21.0,1.26,0.0
2024-01-01 01:00:00,0.79,0.0,1.18,0.7,1.16,1.9,1.19,21.0,1.26,0.0
2024-01-01 02:00:00,0.912207411780735,0.0,1.18,0.7,1.16,1.9,1.19,21.0,1.26,0.0
2024-01-01 03:00:00,1.02,0.0,1.18,0.7,1.16,1.9,1.19,21.0,1.26,0.0
2024-01-01 04:00:00,1.16,0.0,1.18,0.7,1.16,1.9,0.48887172011661795,21.2625,1.26,0.0
2024-01-01 05:00:00,1.25,0.0,1.18,0.7,0.4818950437317783,1.803351648351648,-0.11983236151603507,21.3,0.6226666666666667,0.0
2024-01-01 06:00:00,1.1,0.0,0.8210328014184398,0.6924632352941176,-0.09116618075801755,1.7,-0.6304839650145774,20.8008,0.08514285714285703,0.0
2024-01-01 07:00:00,0.815,0.0,0.49,0.675,-0.5594460641399415,1.568676923076923,-1.0374548104956267,19.6104,-0.3571428571428573,0.0
2024-01-01 08:00:00,0.455713311273656,0.0,0.15664499605988966,0.6112132352941178,-0.923206997084548,1.4112615384615383,-1.3351166180758014,18.1896,-0.708761904761905,0.0
2024-01-01 09:00:00,0.023757482874724206,0.0,-0.20144996059889686,0.4823529411764707,-1.1827113702623908,1.2595076923076924,-1.5178411078717202,16.999200000000002,-0.9742857142857146,0.0
2024-01-01 10:00:00,-0.41932962382445144,0.0,-0.5462234042553191,0.3226102941176472,-1.3382215743440227,1.145169230769231,-1.58,16.5,-1.158285714285715,0.0
2024-01-01 11:00:00,-0.8120101474515267,0.0,-0.8396138691883375,0.16617647058823548,-1.39,1.1,-1.4583984375,16.678586647727276,-1.2653333333333339,0.0
2024-01-01 12:00:00,-1.0927462266341577,0.0,-1.043559889676911,0.04724264705882375,-1.247084548104956,1.160932944606414,-1.1378125,17.154261363636362,-1.3,0.0
2024-01-01 13:00:00,-1.2,0.0,-1.12,0.0,-0.8785131195335275,1.3180758017492713,-0.6845703125,17.836896306818183,-1.1559766763848398,0.0
2024-01-01 14:00:00,-0.9483798052604957,0.0,-0.8314607407407407,0.0,-0.37454810495626795,1.5329446064139942,-0.16500000000000004,18.636363636363637,-0.7845481049562684,0.0
2024-01-01 15:00:00,-0.35679059180576633,0.0,-0.21847703703703691,0.0,0.1745481049562686,1.7670553935860058,0.35457031250000015,19.462535511363633,-0.2766763848396503,0.0
2024-01-01 16:00:00,0.32986058421851294,0.0,0.34,0.0,0.6785131195335279,1.9819241982507294,0.8078125000000003,20.225284090909092,0.27667638483964985,0.0
2024-01-01 17:00:00,0.8666666666666667,0.0,0.789588148148148,0.0,1.0470845481049573,2.1390670553935864,1.1283984375000005,20.834481534090912,0.7845481049562686,0.0
2024-01-01 18:00:00,1.19,0.0,1.2003496296296294,0.0,1.19,2.2,1.25,21.2,1.1559766763848396,0.0
2024-01-01 19:00:00,1.3050000000000002,0.0,1.38,0.0,1.1203703703703702,2.1308823529411764,1.1707407407407409,21.40340909090909,1.3,0.0
2024-01-01 20:00:00,1.275,0.0,1.2635199999999998,0.0,0.9462962962962963,2.0,0.9725925925925926,21.5,1.2377777777777779,0.0
