Date,Zvamkenh,Svamkenh,Zgiathuan,Zrachbang,Zcong3st,Zlonghai,Zbaodinh,Sbaodinh,Zgocat,Sgocat,Ztanthuanbinh,Stanthuanbinh
2024-01-01 00:00:00,0.06777350343173616,12.019050695518537,16.137576704860304,9.188235345819054,5.973371612907776,7.626937425579982,0.44,0.14496461746798983,0.45,0.3793718838982375,0.33,4.910363889710766
2024-01-01 01:00:00,0.33265998262502583,13.502107332598902,16.959569763703605,9.99051885056683,6.593126573946293,8.351476824090156,0.6,0.15425543774571182,0.6,0.429664765585119,0.5596080802318506,4.951849836128588
2024-01-01 02:00:00,0.16493685692432392,10.935190149083502,16.02574747752171,9.008190343896642,5.938648463846185,7.393910978255676,0.235289088441374,0.1532714444910379,0.23960332425384742,0.3950358070529557,0.19067794543152883,5.00207822085838
2024-01-01 03:00:00,1.19,10.7,15.736383109779396,8.642721891680655,5.528989088236543,7.670530533235265,0.40771525220387683,0.159163701581727,0.4664692348671824,0.3923381588611877,0.7417616072204065,5.814696327731667
2024-01-01 04:00:00,0.11316995543655262,9.397268564898976,17.1,6.4,3.7701682680118367,3.5,0.1964789211158732,0.14221133266549635,0.22057112952746985,0.16242534421357446,0.0628033638431933,4.287396967020044
2024-01-01 05:00:00,1.2705913309548245,13.5,17.5,6.8,1.93,2.9,1.08,0.0629741739996964,1.1,-0.08585219875072225,1.22,1.9405317319993287
2024-01-01 06:00:00,0.06647363575010878,8.308496403428462,18.0,7.2,2.1,2.4,0.21067790347252405,0.062053088417046154,0.25307047076209443,0.016324568743698253,-0.019960037226439464,3.3724827479821613
2024-01-01 07:00:00,0.37894281266598595,12.272212094240084,15.549918758258876,7.897052230436223,2.15,7.9016891547858705,0.75,0.08109767408635982,0.8078731080023897,0.24493853420275824,0.7420345074469272,2.239809161692847
2024-01-01 08:00:00,0.16493685692432392,10.935190149083502,16.02574747752171,9.008190343896642,5.938648463846185,7.393910978255676,0.235289088441374,0.1532714444910379,0.23960332425384742,0.3950358070529557,0.19067794543152883,5.00207822085838
2024-01-01 09:00:00,0.16493685692432392,10.935190149083502,16.02574747752171,9.008190343896642,5.938648463846185,7.393910978255676,0.235289088441374,0.1532714444910379,0.23960332425384742,0.3950358070529557,0.19067794543152883,5.00207822085838
2024-01-01 10:00:00,0.16493685692432392,10.935190149083502,16.02574747752171,9.008190343896642,5.938648463846185,7.393910978255676,0.235289088441374,0.1532714444910379,0.23960332425384742,0.3950358070529557,0.19067794543152883,5.00207822085838
